tool,samples,coverage,accuracy,f1_score
send_webhook,32,1.0,0.59375,0.5517241379310345
render_template,32,1.0,0.5,0.5
parse_xml,32,1.0,0.46875,0.48484848484848486
deserialize_data,32,1.0,0.4375,0.47058823529411764
redis_command,40,1.0,0.375,0.4444444444444444
s3_operation,32,1.0,0.375,0.4444444444444444
ldap_query,36,1.0,0.3611111111111111,0.43902439024390244
verify_jwt,28,1.0,0.35714285714285715,0.4375
graphql_query,40,1.0,0.35,0.43478260869565216
