Detector,ROC-AUC,F1,Precision,Recall,MCC,FP Count,FN Count,Mean Latency (ms),Throughput (samples/s)
Rule-Based,0.7451867816091954,0.5669642857142857,0.6105769230769231,0.5291666666666667,0.5227551484542966,81,113,0.029374613384482683,34043.00124434169
Statistical,0.8504260456577267,0.3035830618892508,0.1799227799227799,0.9708333333333333,0.28289654556619376,1062,7,0.061003307555938434,16392.553782153962
Semantic,0.9188298212005108,0.501123595505618,0.34307692307692306,0.9291666666666667,0.49119659590641834,427,17,17.753216365962516,56.32782135845859
MAML,0.7619113186462325,0.21868787276341947,0.12415349887133183,0.9166666666666666,0.12364589133980604,1552,20,6.942884793819995,144.0323481804164
Ensemble,0.9565233876117498,0.41379310344827586,0.26262626262626265,0.975,0.41311827992119565,657,6,24.78647908072293,40.3445764419895
